review_id,review_text,star_rating,sentiment_label
REV-00156,"We had repeated issues, outages, and delayed responses. Critical bugs blocked our workflow for several days.",2,negative
REV-00157,Poor experience with confusing billing and missing features.,1,negative
REV-00158,"We love the billing flow; it saves time every week. The product feels stable, useful, and worth the price.",4,positive
REV-00159,Poor experience with confusing billing and missing features. The billing flow keeps failing and support has been slow.,1,negative
REV-00160,Poor experience with confusing billing and missing features.,1,negative
REV-00161,"We had repeated issues, outages, and delayed responses. The product is frustrating and our team may cancel soon.",2,negative
REV-00162,Support answered eventually and the product is okay.,3,neutral
REV-00163,Poor experience with confusing billing and missing features. Critical bugs blocked our workflow for several days.,1,negative
REV-00164,We love the reporting tool; it saves time every week. We love the reporting tool; it saves time every week.,5,positive
REV-00165,"Excellent reporting tool, smooth onboarding, and helpful support. We love the reporting tool; it saves time every week.",5,positive
REV-00166,"Nothing major went wrong, but nothing stood out either.",3,neutral
REV-00167,Poor experience with confusing billing and missing features. Poor experience with confusing billing and missing features.,2,negative
REV-00168,"The reporting tool is usable, though reporting could improve. Nothing major went wrong, but nothing stood out either.",3,neutral
REV-00169,The automation feature is reliable and the team responds quickly.,5,positive
REV-00170,"Excellent automation feature, smooth onboarding, and helpful support.",4,positive
REV-00171,"The reporting tool is usable, though reporting could improve.",3,neutral
REV-00172,Great experience with fast fixes and clear communication. Great experience with fast fixes and clear communication.,5,positive
REV-00173,"The integration works, but some workflows still feel slow. The billing flow is usable, though reporting could improve.",3,neutral
REV-00174,"We had repeated issues, outages, and delayed responses.",1,negative
REV-00175,The integration is reliable and the team responds quickly. We love the reporting tool; it saves time every week.,5,positive
REV-00176,"Great experience with fast fixes and clear communication. Excellent billing flow, smooth onboarding, and helpful support.",5,positive
REV-00177,Great experience with fast fixes and clear communication. Great experience with fast fixes and clear communication.,4,positive
REV-00178,"Average experience overall, with a few helpful features.",3,neutral
REV-00179,"Excellent customer portal, smooth onboarding, and helpful support.",4,positive
REV-00180,"The product feels stable, useful, and worth the price.",5,positive
REV-00181,"Excellent integration, smooth onboarding, and helpful support.",5,positive
REV-00182,Great experience with fast fixes and clear communication.,4,positive
REV-00183,"We had repeated issues, outages, and delayed responses.",2,negative
REV-00184,The product is frustrating and our team may cancel soon.,1,negative
REV-00185,"Nothing major went wrong, but nothing stood out either.",3,neutral
REV-00186,"The product feels stable, useful, and worth the price. Great experience with fast fixes and clear communication.",5,positive
REV-00187,Poor experience with confusing billing and missing features. Poor experience with confusing billing and missing features.,1,negative
REV-00188,"Average experience overall, with a few helpful features.",3,neutral
REV-00189,We love the integration; it saves time every week.,4,positive
REV-00190,Great experience with fast fixes and clear communication. We love the analytics module; it saves time every week.,4,positive
REV-00191,"Average experience overall, with a few helpful features.",3,neutral
REV-00192,We love the dashboard; it saves time every week.,5,positive
REV-00193,Great experience with fast fixes and clear communication.,4,positive
REV-00194,"Average experience overall, with a few helpful features.",3,neutral
REV-00195,"The product feels stable, useful, and worth the price. We love the automation feature; it saves time every week.",5,positive
REV-00196,Great experience with fast fixes and clear communication.,5,positive
REV-00197,The customer portal keeps failing and support has been slow.,1,negative
REV-00198,"Average experience overall, with a few helpful features. Nothing major went wrong, but nothing stood out either.",3,neutral
REV-00199,"The product feels stable, useful, and worth the price.",4,positive
REV-00200,We love the billing flow; it saves time every week.,5,positive
REV-00201,The reporting tool keeps failing and support has been slow.,1,negative
REV-00202,Great experience with fast fixes and clear communication.,5,positive
REV-00203,Support answered eventually and the product is okay.,3,neutral
REV-00204,"The reporting tool works, but some workflows still feel slow.",3,neutral
REV-00205,"Great experience with fast fixes and clear communication. Excellent dashboard, smooth onboarding, and helpful support.",5,positive
REV-00206,"The product feels stable, useful, and worth the price.",4,positive
REV-00207,"The customer portal is usable, though reporting could improve.",3,neutral
REV-00208,The integration keeps failing and support has been slow.,1,negative
REV-00209,Poor experience with confusing billing and missing features.,1,negative
REV-00210,"The product feels stable, useful, and worth the price. The reporting tool is reliable and the team responds quickly.",5,positive
REV-00211,The automation feature keeps failing and support has been slow.,1,negative
REV-00212,The reporting tool is reliable and the team responds quickly.,4,positive
REV-00213,"We had repeated issues, outages, and delayed responses.",1,negative
REV-00214,"The automation feature is usable, though reporting could improve.",3,neutral
REV-00215,Critical bugs blocked our workflow for several days.,1,negative
REV-00216,Great experience with fast fixes and clear communication.,4,positive
REV-00217,The product is frustrating and our team may cancel soon.,1,negative
REV-00218,Great experience with fast fixes and clear communication.,5,positive
REV-00219,Support answered eventually and the product is okay.,3,neutral
REV-00220,"We had repeated issues, outages, and delayed responses.",2,negative
REV-00221,Support answered eventually and the product is okay.,3,neutral
REV-00222,Poor experience with confusing billing and missing features. The automation feature keeps failing and support has been slow.,1,negative
REV-00223,"Average experience overall, with a few helpful features.",3,neutral
REV-00224,"The reporting tool is usable, though reporting could improve.",3,neutral
REV-00225,"The product feels stable, useful, and worth the price.",5,positive
REV-00226,"Poor experience with confusing billing and missing features. We had repeated issues, outages, and delayed responses.",2,negative
REV-00227,Great experience with fast fixes and clear communication.,5,positive
REV-00228,"Average experience overall, with a few helpful features.",3,neutral
REV-00229,"The customer portal works, but some workflows still feel slow.",3,neutral
REV-00230,Critical bugs blocked our workflow for several days. Critical bugs blocked our workflow for several days.,2,negative
REV-00231,The billing flow keeps failing and support has been slow.,1,negative
REV-00232,Poor experience with confusing billing and missing features.,1,negative
REV-00233,"Excellent customer portal, smooth onboarding, and helpful support. We love the billing flow; it saves time every week.",5,positive
REV-00234,"Average experience overall, with a few helpful features.",3,neutral
REV-00235,"The product feels stable, useful, and worth the price. Excellent dashboard, smooth onboarding, and helpful support.",4,positive
REV-00236,Great experience with fast fixes and clear communication.,5,positive
REV-00237,"The billing flow is usable, though reporting could improve.",3,neutral
REV-00238,"Nothing major went wrong, but nothing stood out either.",3,neutral
REV-00239,The integration is reliable and the team responds quickly.,4,positive
REV-00240,"Nothing major went wrong, but nothing stood out either. Average experience overall, with a few helpful features.",3,neutral
REV-00241,"Excellent dashboard, smooth onboarding, and helpful support.",4,positive
REV-00242,The dashboard is reliable and the team responds quickly.,4,positive
REV-00243,Great experience with fast fixes and clear communication.,5,positive
REV-00244,"Great experience with fast fixes and clear communication. The product feels stable, useful, and worth the price.",4,positive
REV-00245,"The reporting tool is usable, though reporting could improve.",3,neutral
REV-00246,We love the billing flow; it saves time every week.,4,positive
REV-00247,"The dashboard works, but some workflows still feel slow.",3,neutral
REV-00248,"The dashboard works, but some workflows still feel slow.",3,neutral
REV-00249,"Critical bugs blocked our workflow for several days. We had repeated issues, outages, and delayed responses.",2,negative
REV-00250,"Excellent dashboard, smooth onboarding, and helpful support.",5,positive
REV-00251,The product is frustrating and our team may cancel soon.,1,negative
REV-00252,"We had repeated issues, outages, and delayed responses.",2,negative
REV-00253,"We had repeated issues, outages, and delayed responses.",1,negative
REV-00254,"The product feels stable, useful, and worth the price.",5,positive
REV-00255,"The customer portal works, but some workflows still feel slow.",3,neutral
REV-00256,"We had repeated issues, outages, and delayed responses.",2,negative
REV-00257,"Nothing major went wrong, but nothing stood out either.",3,neutral
REV-00258,"We had repeated issues, outages, and delayed responses.",2,negative
REV-00259,"Excellent dashboard, smooth onboarding, and helpful support. Excellent dashboard, smooth onboarding, and helpful support.",5,positive
REV-00260,The reporting tool keeps failing and support has been slow.,2,negative
REV-00261,"We had repeated issues, outages, and delayed responses. The integration keeps failing and support has been slow.",1,negative
REV-00262,"Great experience with fast fixes and clear communication. The product feels stable, useful, and worth the price.",5,positive
REV-00263,We love the automation feature; it saves time every week.,5,positive
REV-00264,"The product feels stable, useful, and worth the price. The reporting tool is reliable and the team responds quickly.",4,positive
REV-00265,"The billing flow works, but some workflows still feel slow.",3,neutral
REV-00266,We love the reporting tool; it saves time every week.,5,positive
REV-00267,Great experience with fast fixes and clear communication. The dashboard is reliable and the team responds quickly.,5,positive
REV-00268,"The product feels stable, useful, and worth the price.",5,positive
REV-00269,"Nothing major went wrong, but nothing stood out either. Nothing major went wrong, but nothing stood out either.",3,neutral
REV-00270,Poor experience with confusing billing and missing features.,2,negative
REV-00271,"The automation feature works, but some workflows still feel slow.",3,neutral
REV-00272,"The product feels stable, useful, and worth the price.",4,positive
REV-00273,"Average experience overall, with a few helpful features. Average experience overall, with a few helpful features.",3,neutral
REV-00274,"The product feels stable, useful, and worth the price. Excellent customer portal, smooth onboarding, and helpful support.",5,positive
REV-00275,"The reporting tool is usable, though reporting could improve.",3,neutral
REV-00276,The reporting tool keeps failing and support has been slow.,1,negative
REV-00277,Support answered eventually and the product is okay.,3,neutral
REV-00278,"The billing flow is reliable and the team responds quickly. Excellent automation feature, smooth onboarding, and helpful support.",5,positive
REV-00279,"Excellent integration, smooth onboarding, and helpful support.",4,positive
REV-00280,The automation feature is reliable and the team responds quickly.,4,positive
REV-00281,Support answered eventually and the product is okay.,3,neutral
REV-00282,"We had repeated issues, outages, and delayed responses.",1,negative
REV-00283,Great experience with fast fixes and clear communication. We love the customer portal; it saves time every week.,4,positive
REV-00284,Great experience with fast fixes and clear communication.,5,positive
REV-00285,The integration keeps failing and support has been slow.,2,negative
REV-00286,"The analytics module is reliable and the team responds quickly. Excellent customer portal, smooth onboarding, and helpful support.",4,positive
REV-00287,The product is frustrating and our team may cancel soon.,1,negative
REV-00288,"Nothing major went wrong, but nothing stood out either. The dashboard is usable, though reporting could improve.",3,neutral
REV-00289,Support answered eventually and the product is okay. Support answered eventually and the product is okay.,3,neutral
REV-00290,The dashboard is reliable and the team responds quickly.,5,positive
REV-00291,The automation feature keeps failing and support has been slow.,2,negative
REV-00292,"The automation feature works, but some workflows still feel slow.",3,neutral
REV-00293,The reporting tool keeps failing and support has been slow.,2,negative
REV-00294,The dashboard is reliable and the team responds quickly.,5,positive
REV-00295,"Average experience overall, with a few helpful features.",3,neutral
REV-00296,"The automation feature works, but some workflows still feel slow.",3,neutral
REV-00297,"The product feels stable, useful, and worth the price.",5,positive
REV-00298,Poor experience with confusing billing and missing features.,2,negative
REV-00299,The reporting tool is reliable and the team responds quickly.,5,positive
REV-00300,"The integration works, but some workflows still feel slow.",3,neutral
REV-00301,"Average experience overall, with a few helpful features.",3,neutral
REV-00302,Poor experience with confusing billing and missing features. Critical bugs blocked our workflow for several days.,1,negative
REV-00303,Support answered eventually and the product is okay.,3,neutral
REV-00304,We love the integration; it saves time every week.,5,positive
REV-00305,"The automation feature is usable, though reporting could improve.",3,neutral
REV-00306,We love the integration; it saves time every week.,4,positive
REV-00307,Great experience with fast fixes and clear communication.,5,positive
REV-00308,"Nothing major went wrong, but nothing stood out either.",3,neutral
REV-00309,"The product feels stable, useful, and worth the price.",5,positive
REV-00310,We love the analytics module; it saves time every week.,5,positive
REV-00311,"Nothing major went wrong, but nothing stood out either.",3,neutral
REV-00312,Critical bugs blocked our workflow for several days.,2,negative
REV-00313,"Average experience overall, with a few helpful features. The automation feature is usable, though reporting could improve.",3,neutral
REV-00314,"Excellent reporting tool, smooth onboarding, and helpful support.",5,positive
REV-00315,The analytics module keeps failing and support has been slow.,2,negative
REV-00316,The dashboard is reliable and the team responds quickly.,5,positive
REV-00317,"Average experience overall, with a few helpful features.",3,neutral
REV-00318,"The product feels stable, useful, and worth the price.",5,positive
REV-00319,Support answered eventually and the product is okay.,3,neutral
REV-00320,Poor experience with confusing billing and missing features.,1,negative
REV-00321,"We had repeated issues, outages, and delayed responses.",1,negative
REV-00322,"Average experience overall, with a few helpful features.",3,neutral
REV-00323,The integration keeps failing and support has been slow.,1,negative
REV-00324,The integration keeps failing and support has been slow.,2,negative
REV-00325,"Average experience overall, with a few helpful features.",3,neutral
REV-00326,"The integration is usable, though reporting could improve.",3,neutral
REV-00327,Poor experience with confusing billing and missing features. Poor experience with confusing billing and missing features.,2,negative
REV-00328,Great experience with fast fixes and clear communication.,5,positive
REV-00329,"Average experience overall, with a few helpful features.",3,neutral
REV-00330,"The dashboard is usable, though reporting could improve. Average experience overall, with a few helpful features.",3,neutral
REV-00331,"Average experience overall, with a few helpful features.",3,neutral
REV-00332,"The product feels stable, useful, and worth the price.",5,positive
REV-00333,"The product feels stable, useful, and worth the price.",5,positive
REV-00334,"The customer portal is usable, though reporting could improve.",3,neutral
REV-00335,"The reporting tool is usable, though reporting could improve.",3,neutral
REV-00336,"Excellent dashboard, smooth onboarding, and helpful support.",5,positive
REV-00337,Support answered eventually and the product is okay. Support answered eventually and the product is okay.,3,neutral
REV-00338,Support answered eventually and the product is okay.,3,neutral
REV-00339,The product is frustrating and our team may cancel soon. The product is frustrating and our team may cancel soon.,1,negative
REV-00340,Poor experience with confusing billing and missing features.,1,negative
REV-00341,"Nothing major went wrong, but nothing stood out either. The analytics module is usable, though reporting could improve.",3,neutral
REV-00342,"Nothing major went wrong, but nothing stood out either.",3,neutral
REV-00343,"The product feels stable, useful, and worth the price.",5,positive
REV-00344,Poor experience with confusing billing and missing features. Poor experience with confusing billing and missing features.,1,negative
REV-00345,Critical bugs blocked our workflow for several days.,1,negative
REV-00346,"Nothing major went wrong, but nothing stood out either.",3,neutral
REV-00347,"Excellent billing flow, smooth onboarding, and helpful support. The integration is reliable and the team responds quickly.",4,positive
REV-00348,The product is frustrating and our team may cancel soon. The product is frustrating and our team may cancel soon.,2,negative
REV-00349,The product is frustrating and our team may cancel soon.,2,negative
REV-00350,The product is frustrating and our team may cancel soon.,1,negative
REV-00351,"Excellent analytics module, smooth onboarding, and helpful support. We love the dashboard; it saves time every week.",5,positive
REV-00352,The billing flow is reliable and the team responds quickly.,5,positive
REV-00353,The billing flow keeps failing and support has been slow.,1,negative
REV-00354,Critical bugs blocked our workflow for several days.,2,negative
REV-00355,"We had repeated issues, outages, and delayed responses.",2,negative
REV-00356,"We had repeated issues, outages, and delayed responses.",2,negative
REV-00357,We love the customer portal; it saves time every week.,5,positive
REV-00358,"The integration is usable, though reporting could improve.",3,neutral
REV-00359,The integration keeps failing and support has been slow.,1,negative
REV-00360,"The automation feature is usable, though reporting could improve. The reporting tool is usable, though reporting could improve.",3,neutral
REV-00361,Critical bugs blocked our workflow for several days.,1,negative
REV-00362,The integration is reliable and the team responds quickly.,4,positive
REV-00363,"Excellent billing flow, smooth onboarding, and helpful support.",4,positive
REV-00364,"The product feels stable, useful, and worth the price.",5,positive
REV-00365,Great experience with fast fixes and clear communication.,4,positive
REV-00366,"The reporting tool works, but some workflows still feel slow. The reporting tool works, but some workflows still feel slow.",3,neutral
REV-00367,"Excellent billing flow, smooth onboarding, and helpful support. We love the integration; it saves time every week.",5,positive
REV-00368,"Excellent automation feature, smooth onboarding, and helpful support.",5,positive
REV-00369,"We had repeated issues, outages, and delayed responses.",1,negative
REV-00370,"We love the automation feature; it saves time every week. The product feels stable, useful, and worth the price.",5,positive
REV-00371,We love the integration; it saves time every week.,4,positive
REV-00372,"The reporting tool is usable, though reporting could improve.",3,neutral
REV-00373,The product is frustrating and our team may cancel soon. The product is frustrating and our team may cancel soon.,1,negative
REV-00374,The customer portal is reliable and the team responds quickly.,5,positive
REV-00375,"The analytics module is usable, though reporting could improve.",3,neutral
REV-00376,"The analytics module is reliable and the team responds quickly. Excellent dashboard, smooth onboarding, and helpful support.",4,positive
REV-00377,"The automation feature is usable, though reporting could improve.",3,neutral
REV-00378,"Nothing major went wrong, but nothing stood out either.",3,neutral
REV-00379,"Average experience overall, with a few helpful features.",3,neutral
REV-00380,Critical bugs blocked our workflow for several days.,1,negative
REV-00381,Support answered eventually and the product is okay.,3,neutral
REV-00382,The analytics module keeps failing and support has been slow.,1,negative
REV-00383,"We had repeated issues, outages, and delayed responses.",1,negative
REV-00384,"The customer portal works, but some workflows still feel slow.",3,neutral
REV-00385,Support answered eventually and the product is okay.,3,neutral
REV-00386,The automation feature keeps failing and support has been slow.,2,negative
REV-00387,Great experience with fast fixes and clear communication. The billing flow is reliable and the team responds quickly.,5,positive
REV-00388,"The product feels stable, useful, and worth the price.",5,positive
REV-00389,Poor experience with confusing billing and missing features.,1,negative
REV-00390,"The customer portal works, but some workflows still feel slow. Nothing major went wrong, but nothing stood out either.",3,neutral
REV-00391,We love the analytics module; it saves time every week.,4,positive
REV-00392,The product is frustrating and our team may cancel soon.,1,negative
REV-00393,"Nothing major went wrong, but nothing stood out either.",3,neutral
REV-00394,"The reporting tool works, but some workflows still feel slow. Nothing major went wrong, but nothing stood out either.",3,neutral
REV-00395,"We had repeated issues, outages, and delayed responses.",1,negative
REV-00396,We love the reporting tool; it saves time every week.,5,positive
REV-00397,Support answered eventually and the product is okay.,3,neutral
REV-00398,"The product feels stable, useful, and worth the price.",4,positive
REV-00399,"Nothing major went wrong, but nothing stood out either. Support answered eventually and the product is okay.",3,neutral
REV-00400,"Excellent customer portal, smooth onboarding, and helpful support.",5,positive
REV-00401,Support answered eventually and the product is okay.,3,neutral
REV-00402,"The customer portal works, but some workflows still feel slow.",3,neutral
REV-00403,The analytics module keeps failing and support has been slow.,2,negative
REV-00404,"The customer portal is usable, though reporting could improve. Nothing major went wrong, but nothing stood out either.",3,neutral
REV-00405,The billing flow is reliable and the team responds quickly.,5,positive
REV-00406,"The dashboard works, but some workflows still feel slow.",3,neutral
REV-00407,"Excellent customer portal, smooth onboarding, and helpful support. Great experience with fast fixes and clear communication.",4,positive
REV-00408,"Excellent automation feature, smooth onboarding, and helpful support.",4,positive
